 


Daily Data Between Two Dates
 EMBARRASS (MN)
 USC00212576

Date,PRCP,SNOW,SNWD,TMAX,TMIN,
2015-08-27,0.00,0.0,0,70,33,

Sum:,14.43,T,,,,
Count:,117,101,100,118,119,
Average:,0.12,0.0,0.0,69.5,42.7,
Median:,T,0.0,0.0,70.0,43.0,
Low Value:,0.00,0.0,0,40,23,
High Value:,1.48,T,0,88,60,

M = Missing
T = Trace


Time of observation may vary by station, date, and/or variable

Midwestern Regional Climate Center
cli-MATE: MRCC Application Tools Environment
Generated at: 8/27/2015 5:43:43 PM CDT

