 


Daily Data Between Two Dates
 EMBARRASS (MN)
 USC00212576

Date,PRCP,SNOW,SNWD,TMAX,TMIN,
2016-01-12,0.02,0.5,8,0,-34,
2016-01-13,0.00,0.0,8,-6,-15,
2016-01-14,T,T,8,5,-12,
2016-01-15,0.23,4.0,11,15,5,
2016-01-16,0.04,1.0,11,14,-10,
2016-01-17,0.00,0.0,11,-7,-29,
2016-01-18,0.00,0.0,10,-8,-34,
2016-01-19,0.00,0.0,10,-2,-34,
2016-01-20,M,M,10,10,-22,
2016-01-21,M,M,M,12,0,
2016-01-22,0.05,1.0,11,18,8,
2016-01-23,T,T,11,15,-1,
2016-01-24,0.05,1.0,11,24,13,
2016-01-25,0.00,0.0,11,25,20,
2016-01-26,0.07,1.0,12,29,18,
2016-01-27,M,M,12,23,14,
2016-01-28,0.20,3.0,14,24,15,
2016-01-29,T,T,14,19,-12,
2016-01-30,0.09,1.0,15,26,12,
2016-01-31,0.00,0.0,13,39,26,
2016-02-01,M,M,13,36,3,
2016-02-02,0.00,0.0,12,25,2,
2016-02-03,0.03,0.5,12,25,2,
2016-02-04,T,T,12,15,-14,
2016-02-05,T,T,12,20,2,
2016-02-06,0.00,0.0,12,24,7,
2016-02-07,0.23,3.0,15,31,24,
2016-02-08,0.06,1.0,16,33,6,
2016-02-09,T,T,16,10,-3,
2016-02-10,M,0.0,16,5,-17,
2016-02-11,0.00,0.0,16,3,-32,
2016-02-12,0.00,0.0,16,10,-32,
2016-02-13,0.00,0.0,16,-2,-36,
2016-02-14,0.00,0.0,15,5,-36,
2016-02-15,M,M,M,15,-4,
2016-02-16,0.00,0.0,18,25,15,
2016-02-17,0.00,0.0,18,24,-28,
2016-02-18,0.00,0.0,18,24,-28,
2016-02-19,0.19,M,M,34,19,
2016-02-20,0.75,1.0,15,35,32,
2016-02-21,T,T,15,34,22,
2016-02-22,M,1.5,15,24,-12,
2016-02-23,T,T,15,25,0,
2016-02-24,0.18,2.5,18,25,22,
2016-02-25,M,M,18,31,8,
2016-02-26,T,T,18,24,-7,
2016-02-27,0.00,0.0,16,37,-7,
2016-02-28,T,T,15,47,19,
2016-02-29,0.16,3.0,18,28,4,
2016-03-01,0.00,0.0,18,10,-16,
2016-03-02,0.00,0.0,18,20,-17,
2016-03-03,T,T,18,24,-2,
2016-03-04,0.00,0.0,18,29,-12,
2016-03-05,0.07,1.0,18,28,-12,
2016-03-06,0.00,0.0,16,30,21,
2016-03-07,0.00,0.0,15,51,18,
2016-03-08,0.05,M,12,48,18,
2016-03-09,0.23,0.0,10,48,29,
2016-03-10,0.00,0.0,9,34,29,
2016-03-11,0.00,0.0,8,39,20,
2016-03-12,0.00,0.0,3,51,24,
2016-03-13,M,M,4,60,24,
2016-03-14,0.07,0.0,2,55,33,
2016-03-15,0.00,0.0,1,47,36,
2016-03-16,1.66,3.0,3,44,32,
2016-03-17,0.58,6.0,6,32,22,
2016-03-18,T,T,6,28,18,
2016-03-19,0.00,0.0,6,27,5,
2016-03-20,0.00,0.0,5,32,8,
2016-03-21,0.00,0.0,4,37,8,
2016-03-22,0.00,0.0,3,39,13,
2016-03-23,0.00,0.0,3,35,8,
2016-03-24,0.00,0.0,3,34,8,
2016-03-25,0.00,0.0,2,40,14,
2016-03-26,0.22,3.0,5,43,22,
2016-03-27,T,T,2,34,26,
2016-03-28,M,M,2,43,19,
2016-03-29,0.00,0.0,1,45,22,
2016-03-30,0.02,1.0,M,59,28,
2016-03-31,M,0.0,T,45,24,
2016-04-01,T,T,T,40,26,
2016-04-02,0.07,1.0,1,29,16,
2016-04-03,M,1.0,1,24,16,
2016-04-04,T,T,1,24,1,
2016-04-05,0.00,0.0,T,34,1,
2016-04-06,0.47,5.0,5,35,20,
2016-04-07,0.02,M,2,36,26,
2016-04-08,0.14,1.0,4,36,12,
2016-04-09,M,M,4,24,-8,
2016-04-10,0.00,M,3,26,-8,
2016-04-11,M,M,2,40,20,
2016-04-12,M,M,2,32,10,
2016-04-13,M,M,T,45,10,
2016-04-14,0.00,0.0,T,53,28,
2016-04-15,0.00,M,0,71,34,
2016-04-16,0.00,0.0,0,70,44,
2016-04-17,0.00,0.0,0,74,49,
2016-04-18,0.13,0.0,0,76,40,
2016-04-19,0.39,0.0,0,41,29,
2016-04-20,M,M,M,59,29,
2016-04-21,0.00,0.0,0,64,32,
2016-04-22,0.15,0.0,0,51,26,
2016-04-23,0.00,0.0,0,53,26,
2016-04-24,0.32,0.0,0,41,35,
2016-04-25,0.54,0.0,0,38,35,
2016-04-26,0.31,0.0,0,38,31,
2016-04-27,0.00,0.0,0,54,24,
2016-04-28,0.00,0.0,0,53,24,
2016-04-29,0.00,M,M,53,29,
2016-04-30,0.00,0.0,0,53,29,
2016-05-01,0.00,0.0,0,52,21,
2016-05-02,M,M,M,M,M,
2016-05-03,0.00,0.0,0,55,27,
2016-05-04,M,M,M,M,M,
2016-05-05,M,M,M,61,28,
2016-05-06,T,0.0,0,80,40,
2016-05-07,0.00,0.0,0,86,29,
2016-05-08,0.00,0.0,0,63,30,
2016-05-09,0.00,0.0,0,64,30,
2016-05-10,0.00,0.0,0,68,40,
2016-05-11,T,0.0,0,56,41,
2016-05-12,0.16,M,M,54,44,
2016-05-13,T,M,M,53,37,
2016-05-14,0.05,0.3,T,43,25,
2016-05-15,T,T,0,35,24,
2016-05-16,0.20,0.0,0,53,25,
2016-05-17,0.00,0.0,0,50,30,
2016-05-18,0.00,0.0,0,63,26,
2016-05-19,M,M,M,M,M,
2016-05-20,0.00,0.0,0,73,40,
2016-05-21,0.00,0.0,0,75,35,
2016-05-22,0.00,0.0,0,80,37,
2016-05-23,0.00,0.0,0,82,39,
2016-05-24,M,M,M,M,M,
2016-05-25,0.03,0.0,0,75,49,
2016-05-26,T,0.0,0,68,49,
2016-05-27,0.00,0.0,0,72,42,
2016-05-28,0.65,0.0,0,62,43,
2016-05-29,0.27,0.0,0,66,55,
2016-05-30,0.03,0.0,0,67,40,
2016-05-31,0.00,0.0,0,72,42,
2016-06-01,0.26,0.0,0,52,46,
2016-06-02,0.16,0.0,0,60,48,
2016-06-03,T,0.0,0,59,35,
2016-06-04,M,0.0,0,58,40,
2016-06-05,0.06,0.0,0,57,45,
2016-06-06,0.32,T,0,63,45,
2016-06-07,0.08,0.0,0,56,36,
2016-06-08,0.00,0.0,0,62,28,
2016-06-09,0.00,0.0,0,68,30,
2016-06-10,0.00,0.0,0,78,46,
2016-06-11,0.67,0.0,0,78,52,
2016-06-12,0.00,0.0,0,72,44,
2016-06-13,1.96,0.0,0,58,40,
2016-06-14,0.00,0.0,0,67,45,
2016-06-15,0.40,0.0,0,65,54,
2016-06-16,0.46,0.0,0,60,53,
2016-06-17,0.00,0.0,0,79,48,
2016-06-18,T,0.0,0,77,50,
2016-06-19,0.00,0.0,0,80,54,
2016-06-20,0.00,0.0,0,86,55,
2016-06-21,0.00,0.0,0,70,43,
2016-06-22,0.00,0.0,0,70,42,
2016-06-23,0.05,0.0,0,68,42,
2016-06-24,0.00,0.0,0,78,45,
2016-06-25,0.00,0.0,0,79,47,
2016-06-26,1.25,0.0,0,79,50,
2016-06-27,0.15,0.0,0,73,50,
2016-06-28,0.02,0.0,0,56,37,
2016-06-29,0.00,0.0,0,69,38,
2016-06-30,0.41,0.0,0,75,44,
2016-07-01,T,0.0,0,70,35,
2016-07-02,0.00,0.0,0,72,36,
2016-07-03,0.00,0.0,0,73,42,
2016-07-04,0.00,0.0,0,78,42,
2016-07-05,T,0.0,0,75,49,
2016-07-06,0.25,M,M,83,50,
2016-07-07,0.00,0.0,0,78,54,
2016-07-08,1.05,0.0,0,68,55,
2016-07-09,0.09,0.0,0,69,50,
2016-07-10,0.00,M,M,78,51,
2016-07-11,T,M,M,74,57,
2016-07-12,M,M,M,M,M,
2016-07-13,0.00,0.0,0,75,60,
2016-07-14,0.16,M,M,70,58,
2016-07-15,0.04,0.0,0,59,50,
2016-07-16,0.00,0.0,0,75,43,
2016-07-17,0.00,M,M,76,44,
2016-07-18,0.24,0.0,0,71,52,
2016-07-19,0.00,0.0,0,73,43,
2016-07-20,0.00,0.0,0,82,46,
2016-07-21,0.25,0.0,0,86,60,
2016-07-22,0.00,0.0,0,84,51,
2016-07-23,0.00,M,M,85,51,
2016-07-24,0.14,M,M,76,53,
2016-07-25,0.00,M,M,75,51,
2016-07-26,M,M,M,M,M,
2016-07-27,T,0.0,0,82,59,
2016-07-28,T,M,M,71,48,
2016-07-29,0.00,M,M,75,46,
2016-07-30,0.00,0.0,0,75,43,
2016-07-31,0.00,0.0,0,76,43,
2016-08-01,0.00,0.0,0,77,54,
2016-08-02,1.10,0.0,0,79,55,
2016-08-03,0.05,0.0,0,80,48,
2016-08-04,0.94,0.0,0,83,50,
2016-08-05,0.00,0.0,0,77,58,
2016-08-06,T,0.0,0,68,45,
2016-08-07,0.00,0.0,0,74,42,
2016-08-08,0.00,0.0,0,73,42,
2016-08-09,T,0.0,0,76,44,
2016-08-10,T,0.0,0,83,55,
2016-08-11,0.80,0.0,0,67,56,
2016-08-12,0.00,0.0,0,72,59,
2016-08-13,0.07,0.0,0,70,55,
2016-08-14,T,0.0,0,70,47,
2016-08-15,0.00,0.0,0,75,45,
2016-08-16,0.00,0.0,0,77,46,
2016-08-17,0.00,0.0,0,82,50,
2016-08-18,0.00,0.0,0,80,51,
2016-08-19,T,0.0,0,76,52,
2016-08-20,0.02,0.0,0,71,48,
2016-08-21,0.45,0.0,0,69,40,
2016-08-22,0.00,0.0,0,65,41,
2016-08-23,0.00,0.0,0,78,52,
2016-08-24,M,0.0,0,81,56,
2016-08-25,M,0.0,0,78,46,
2016-08-26,M,M,M,63,42,
2016-08-27,0.00,0.0,0,70,42,
2016-08-28,0.24,0.0,0,54,51,
2016-08-29,1.85,0.0,0,75,52,
2016-08-30,0.03,0.0,0,75,49,
2016-08-31,0.00,0.0,0,70,39,
2016-09-01,0.00,0.0,0,70,38,
2016-09-02,0.00,0.0,0,68,38,
2016-09-03,0.00,0.0,0,69,49,
2016-09-04,0.00,0.0,0,70,49,
2016-09-05,0.85,0.0,0,68,57,
2016-09-06,0.90,0.0,0,70,59,
2016-09-07,0.00,0.0,0,68,48,
2016-09-08,0.59,0.0,0,66,49,
2016-09-09,0.00,0.0,0,67,44,
2016-09-10,0.39,T,0,68,45,
2016-09-11,0.00,0.0,0,64,42,
2016-09-12,0.00,0.0,0,70,42,
2016-09-13,0.04,0.0,0,64,47,
2016-09-14,0.00,0.0,0,55,29,
2016-09-15,0.00,0.0,0,59,30,
2016-09-16,0.11,0.0,0,65,35,
2016-09-17,0.34,0.0,0,66,54,
2016-09-18,M,0.0,0,66,39,
2016-09-19,0.18,0.0,0,68,39,
2016-09-20,0.00,0.0,0,66,35,
2016-09-21,0.00,0.0,0,65,35,
2016-09-22,0.04,0.0,0,60,36,
2016-09-23,0.00,0.0,0,60,38,
2016-09-24,T,0.0,0,60,44,
2016-09-25,0.30,0.0,0,61,52,
2016-09-26,0.50,0.0,0,58,44,
2016-09-27,0.54,0.0,0,46,43,
2016-09-28,0.11,0.0,0,46,42,
2016-09-29,0.00,0.0,0,56,42,
2016-09-30,0.00,0.0,0,56,35,
2016-10-01,0.00,0.0,0,65,34,
2016-10-02,0.00,0.0,0,69,36,
2016-10-03,0.00,0.0,0,69,38,
2016-10-04,0.00,0.0,0,69,38,
2016-10-05,M,0.0,0,67,48,

Sum:,35.01,66.8,,,,
Count:,318,305,318,348,348,
Average:,0.11,0.2,3.4,48.8,26.7,
Median:,T,0.0,0.0,51.5,30.0,
Low Value:,0.00,0.0,0,-8,-36,
High Value:,1.96,6.0,18,86,60,

M = Missing
T = Trace


Time of observation may vary by station, date, and/or variable

Midwestern Regional Climate Center
cli-MATE: MRCC Application Tools Environment
Generated at: 2/2/2017 12:11:42 PM CST

