					
Daily Data Between Two Dates					
 EMBARRASS (MN)					
 USC00212576					
					
Date	PRCP	SNOW	SNWD	TMAX	TMIN
12/22/2015	0	0	6	23	15
12/23/2015	T	T	6	31	23
12/24/2015	0.13	1	7	35	14
12/25/2015	T	T	7	18	-1
12/26/2015	0.03	0.5	7	21	11
12/27/2015	0.1	2	9	20	3
12/28/2015	0	0	9	12	-1
12/29/2015	0	0	9	18	5
12/30/2015	0	0	9	12	0
12/31/2015	M	M	8	16	-3
1/1/2016	T	T	7	18	12
1/2/2016	T	T	7	25	4
1/3/2016	M	T	6	27	4
1/4/2016	T	T	6	27	11
1/5/2016	0	0	M	25	11
1/6/2016	M	M	M	26	13
1/7/2016	0.02	T	6	27	19
1/8/2016	0.1	2	8	30	24
1/9/2016	T	T	8	25	3
1/10/2016	T	T	8	3	-28
1/11/2016	M	M	8	-4	-34
1/12/2016	0.02	0.5	8	0	-34
1/13/2016	0	0	8	-6	-15
1/14/2016	T	T	8	5	-12
1/15/2016	0.23	4	11	15	5
1/16/2016	0.04	1	11	14	-10
1/17/2016	0	0	11	-7	-29
1/18/2016	0	0	10	-8	-34
1/19/2016	0	0	10	-2	-34
1/20/2016	M	M	10	10	-22
1/21/2016	M	M	M	12	0
1/22/2016	0.05	1	11	18	8
1/23/2016	T	T	11	15	-1
1/24/2016	0.05	1	11	24	13
1/25/2016	0	0	11	25	20
1/26/2016	0.07	1	12	29	18
1/27/2016	M	M	12	23	14
1/28/2016	0.2	3	14	24	15
1/29/2016	T	T	14	19	-12
1/30/2016	0.09	1	15	26	12
1/31/2016	0	0	13	39	26
2/1/2016	M	M	13	36	3
2/2/2016	0	0	12	25	2
2/3/2016	0.03	0.5	12	25	2
2/4/2016	T	T	12	15	-14
2/5/2016	T	T	12	20	2
2/6/2016	0	0	12	24	7
2/7/2016	0.23	3	15	31	24
2/8/2016	0.06	1	16	33	6
2/9/2016	T	T	16	10	-3
2/10/2016	M	0	16	5	-17
2/11/2016	0	0	16	3	-32
2/12/2016	0	0	16	10	-32
2/13/2016	0	0	16	-2	-36
2/14/2016	0	0	15	5	-36
2/15/2016	M	M	M	15	-4
2/16/2016	0	0	18	25	15
2/17/2016	0	0	18	24	-28
2/18/2016	0	0	18	24	-28
2/19/2016	0.19	M	M	34	19
2/20/2016	0.75	1	15	35	32
2/21/2016	T	T	15	34	22
2/22/2016	M	1.5	15	24	-12
2/23/2016	T	T	15	25	0
2/24/2016	0.18	2.5	18	25	22
2/25/2016	M	M	18	31	8
2/26/2016	T	T	18	24	-7
2/27/2016	0	0	16	37	-7
2/28/2016	T	T	15	47	19
2/29/2016	0.16	3	18	28	4
3/1/2016	0	0	18	10	-16
3/2/2016	0	0	18	20	-17
3/3/2016	T	T	18	24	-2
3/4/2016	0	0	18	29	-12
3/5/2016	0.07	1	18	28	-12
3/6/2016	0	0	16	30	21
3/7/2016	0	0	15	51	18
3/8/2016	0.05	M	12	48	18
3/9/2016	0.23	0	10	48	29
3/10/2016	0	0	9	34	29
3/11/2016	0	0	8	39	20
3/12/2016	0	0	3	51	24
3/13/2016	M	M	4	60	24
3/14/2016	0.07	0	2	55	33
3/15/2016	0	0	1	47	36
3/16/2016	1.66	3	3	44	32
3/17/2016	0.58	6	6	32	22
3/18/2016	T	T	6	28	18
3/19/2016	0	0	6	27	5
3/20/2016	0	0	5	32	8
3/21/2016	0	0	4	37	8
3/22/2016	0	0	3	39	13
3/23/2016	0	0	3	35	8
3/24/2016	0	0	3	34	8
3/25/2016	0	0	2	40	14
3/26/2016	0.22	3	5	43	22
3/27/2016	T	T	2	34	26
3/28/2016	M	M	2	43	19
3/29/2016	0	0	1	45	22
3/30/2016	0.02	1	M	59	28
3/31/2016	M	0	T	45	24
4/1/2016	T	T	T	40	26
4/2/2016	0.07	1	1	29	16
4/3/2016	M	1	1	24	16
4/4/2016	T	T	1	24	1
4/5/2016	0	0	T	34	1
4/6/2016	0.47	5	5	35	20
4/7/2016	0.02	M	2	36	26
4/8/2016	0.14	1	4	36	12
4/9/2016	M	M	4	24	-8
4/10/2016	0	M	3	26	-8
4/11/2016	M	M	2	40	20
4/12/2016	M	M	2	32	10
4/13/2016	M	M	T	45	10
4/14/2016	0	0	T	53	28
4/15/2016	0	M	0	71	34
4/16/2016	0	0	0	70	44
4/17/2016	0	0	0	74	49
4/18/2016	0.13	0	0	76	40
4/19/2016	0.39	0	0	41	29
4/20/2016	M	M	M	59	29
4/21/2016	0	0	0	64	32
4/22/2016	0.15	0	0	51	26
4/23/2016	0	0	0	53	26
4/24/2016	0.32	0	0	41	35
4/25/2016	0.54	0	0	38	35
4/26/2016	0.31	0	0	38	31
4/27/2016	0	0	0	54	24
4/28/2016	0	0	0	53	24
4/29/2016	0	M	M	53	29
4/30/2016	0	0	0	53	29
5/1/2016	0	0	0	52	21
5/2/2016	M	M	M	M	M
5/3/2016	0	0	0	55	27
5/4/2016	M	M	M	M	M
5/5/2016	M	M	M	61	28
5/6/2016	T	0	0	80	40
5/7/2016	0	0	0	86	29
5/8/2016	0	0	0	63	30
5/9/2016	0	0	0	64	30
5/10/2016	0	0	0	68	40
5/11/2016	T	0	0	56	41
5/12/2016	0.16	M	M	54	44
5/13/2016	T	M	M	53	37
5/14/2016	0.05	0.3	T	43	25
5/15/2016	T	T	0	35	24
5/16/2016	0.2	0	0	53	25
5/17/2016	0	0	0	50	30
5/18/2016	0	0	0	63	26
5/19/2016	M	M	M	M	M
5/20/2016	0	0	0	73	40
5/21/2016	0	0	0	75	35
5/22/2016	0	0	0	80	37
5/23/2016	0	0	0	82	39
5/24/2016	M	M	M	M	M
5/25/2016	0.03	0	0	75	49
5/26/2016	T	0	0	68	49
5/27/2016	0	0	0	72	42
5/28/2016	0.65	0	0	62	43
5/29/2016	0.27	0	0	66	55
5/30/2016	0.03	0	0	67	40
5/31/2016	0	0	0	72	42
6/1/2016	0.26	0	0	52	46
6/2/2016	0.16	0	0	60	48
6/3/2016	T	0	0	59	35
6/4/2016	M	0	0	58	40
6/5/2016	0.06	0	0	57	45
6/6/2016	0.32	T	0	63	45
6/7/2016	0.08	0	0	56	36
6/8/2016	0	0	0	62	28
6/9/2016	0	0	0	68	30
6/10/2016	0	0	0	78	46
6/11/2016	0.67	0	0	78	52
6/12/2016	0	0	0	72	44
6/13/2016	1.96	0	0	58	40
6/14/2016	0	0	0	67	45
6/15/2016	0.4	0	0	65	54
6/16/2016	0.46	0	0	60	53
6/17/2016	0	0	0	79	48
6/18/2016	T	0	0	77	50
6/19/2016	0	0	0	80	54
6/20/2016	0	0	0	86	55
6/21/2016	0	0	0	70	43
6/22/2016	0	0	0	70	42
6/23/2016	0.05	0	0	68	42
6/24/2016	0	0	0	78	45
6/25/2016	0	0	0	79	47
6/26/2016	1.25	0	0	79	50
6/27/2016	0.15	0	0	73	50
6/28/2016	0.02	0	0	56	37
6/29/2016	0	0	0	69	38
6/30/2016	0.41	0	0	75	44
7/1/2016	T	0	0	70	35
7/2/2016	0	0	0	72	36
7/3/2016	0	0	0	73	42
7/4/2016	0	0	0	78	42
7/5/2016	T	0	0	75	49
7/6/2016	0.25	M	M	83	50
7/7/2016	0	0	0	78	54
7/8/2016	1.05	0	0	68	55
7/9/2016	0.09	0	0	69	50
7/10/2016	0	M	M	78	51
7/11/2016	T	M	M	74	57
7/12/2016	M	M	M	M	M
7/13/2016	0	0	0	75	60
7/14/2016	0.16	M	M	70	58
7/15/2016	0.04	0	0	59	50
7/16/2016	0	0	0	75	43
7/17/2016	0	M	M	76	44
7/18/2016	0.24	0	0	71	52
7/19/2016	0	0	0	73	43
7/20/2016	0	0	0	82	46
7/21/2016	0.25	0	0	86	60
7/22/2016	0	0	0	84	51
7/23/2016	0	M	M	85	51
7/24/2016	0.14	M	M	76	53
7/25/2016	0	M	M	75	51
7/26/2016	M	M	M	M	M
7/27/2016	T	0	0	82	59
7/28/2016	T	M	M	71	48
7/29/2016	0	M	M	75	46
7/30/2016	0	0	0	75	43
7/31/2016	0	0	0	76	43
8/1/2016	0	0	0	77	54
8/2/2016	1.1	0	0	79	55
8/3/2016	0.05	0	0	80	48
8/4/2016	0.94	0	0	83	50
8/5/2016	0	0	0	77	58
8/6/2016	T	0	0	68	45
8/7/2016	0	0	0	74	42
8/8/2016	0	0	0	73	42
8/9/2016	T	0	0	76	44
8/10/2016	T	0	0	83	55
8/11/2016	0.8	0	0	67	56
8/12/2016	0	0	0	72	59
8/13/2016	0.07	0	0	70	55
8/14/2016	T	0	0	70	47
8/15/2016	0	0	0	75	45
8/16/2016	0	0	0	77	46
8/17/2016	0	0	0	82	50
8/18/2016	0	0	0	80	51
8/19/2016	T	0	0	76	52
8/20/2016	0.02	0	0	71	48
8/21/2016	0.45	0	0	69	40
8/22/2016	0	0	0	65	41
8/23/2016	0	0	0	78	52
8/24/2016	M	0	0	81	56
8/25/2016	M	0	0	78	46
8/26/2016	M	M	M	63	42
8/27/2016	0	0	0	70	42
8/28/2016	0.24	0	0	54	51
8/29/2016	1.85	0	0	75	52
8/30/2016	0.03	0	0	75	49
8/31/2016	0	0	0	70	39
9/1/2016	0	0	0	70	38
9/2/2016	0	0	0	68	38
9/3/2016	0	0	0	69	49
9/4/2016	0	0	0	70	49
9/5/2016	0.85	0	0	68	57
9/6/2016	0.9	0	0	70	59
9/7/2016	0	0	0	68	48
9/8/2016	0.59	0	0	66	49
9/9/2016	0	0	0	67	44
9/10/2016	0.39	T	0	68	45
9/11/2016	0	0	0	64	42
9/12/2016	0	0	0	70	42
9/13/2016	0.04	0	0	64	47
9/14/2016	0	0	0	55	29
9/15/2016	0	0	0	59	30
9/16/2016	0.11	0	0	65	35
9/17/2016	0.34	0	0	66	54
9/18/2016	M	0	0	66	39
9/19/2016	0.18	0	0	68	39
9/20/2016	0	0	0	66	35
9/21/2016	0	0	0	65	35
9/22/2016	0.04	0	0	60	36
9/23/2016	0	0	0	60	38
9/24/2016	T	0	0	60	44
9/25/2016	0.3	0	0	61	52
9/26/2016	0.5	0	0	58	44
9/27/2016	0.54	0	0	46	43
9/28/2016	0.11	0	0	46	42
9/29/2016	0	0	0	56	42
9/30/2016	0	0	0	56	35
10/1/2016	0	0	0	65	34
10/2/2016	0	0	0	69	36
10/3/2016	0	0	0	69	38
10/4/2016	0	0	0	69	38
10/5/2016	M	0	0	67	48
					
