 


Daily Data Between Two Dates
 EVELETH WW PLT (MN)
 USC00212645

Date,PRCP,SNOW,SNWD,TMAX,TMIN,
2015-08-30,0.00,0.0,0,71,59,
2015-08-31,0.00,0.0,0,82,61,
2015-09-01,0.00,0.0,0,82,61,
2015-09-02,0.00,0.0,0,83,63,
2015-09-03,0.70,0.0,0,76,60,
2015-09-04,0.00,0.0,0,77,58,
2015-09-05,1.32,0.0,0,82,62,
2015-09-06,1.86,0.0,0,85,66,
2015-09-07,0.27,0.0,0,87,57,
2015-09-08,0.00,0.0,0,74,53,
2015-09-09,0.00,0.0,0,72,47,
2015-09-10,M,M,M,M,M,
2015-09-11,0.00,0.0,0,59,45,

Sum:,18.85,0.0,,,,
Count:,133,108,108,131,130,
Average:,0.14,0.0,0.0,72.9,51.0,
Median:,0.00,0.0,0.0,74.0,52.0,
Low Value:,0.00,0.0,0,42,30,
High Value:,1.86,0.0,0,90,68,

M = Missing
T = Trace


Time of observation may vary by station, date, and/or variable

Midwestern Regional Climate Center
cli-MATE: MRCC Application Tools Environment
Generated at: 9/11/2015 10:39:42 PM CDT

